City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,aswan,24.0934,32.907,20.38,21,2,5.88,EG,1675260238
236,kodinsk,58.6881,99.1844,-17.71,100,99,1.15,RU,1675260238
237,bengkulu,-3.8004,102.2655,25.9,86,100,3.29,ID,1675260239
238,yakeshi,49.2833,120.7333,-31.16,100,32,2.08,CN,1675260239
239,pozo colorado,-23.4923,-58.7972,28.43,70,54,1.93,PY,1675260240
240,peniche,39.3558,-9.3811,16.27,55,0,1.52,PT,1675260240
241,kahului,20.8947,-156.47,21.58,100,0,1.79,US,1675260242
242,yumen,40.2833,97.2,-5.04,37,99,3.16,CN,1675260244
243,abalak,58.1286,68.5944,-7.99,98,96,2.21,RU,1675259912
244,bambanglipuro,-7.95,110.2833,25.49,88,100,3.16,ID,1675260248
245,vila velha,-20.3297,-40.2925,29.97,62,40,5.14,BR,1675259980
246,sitka,57.0531,-135.33,4.94,87,100,1.54,US,1675259937
247,bomet,-0.7813,35.3416,25.22,30,97,2.72,KE,1675260255
248,hofn,64.2539,-15.2082,-4.99,68,0,3.09,IS,1675260257
249,bairiki,1.3292,172.9752,27.0,89,75,4.12,KI,1675260260
250,kirensk,57.7853,108.1119,-13.38,96,100,2.53,RU,1675260261
251,charters towers,-20.1,146.2667,27.3,63,100,3.88,AU,1675260265
252,vetas,7.3091,-72.8712,6.6,36,6,0.68,CO,1675260273
253,olafsvik,64.8945,-23.7142,-1.55,83,77,5.05,IS,1675260277
254,tuatapere,-46.1333,167.6833,16.43,97,100,1.69,NZ,1675260285
255,jinchang,38.4953,102.1739,-5.14,28,44,1.32,CN,1675260285
256,colon,9.3592,-79.9014,26.6,72,83,6.28,PA,1675260286
257,yaan,7.3833,8.5667,39.1,9,6,3.24,NG,1675260287
258,ouadda,8.0777,22.4007,38.38,7,7,2.82,CF,1675260287
259,baghmara,23.795,86.2085,20.21,18,0,3.54,IN,1675260288
260,nouakchott,18.0858,-15.9785,26.96,41,69,4.98,MR,1675260288
261,ambilobe,-13.2,49.05,27.01,87,100,1.02,MG,1675260289
262,gat,31.61,34.7642,12.1,100,97,10.59,IL,1675260289
263,bathsheba,13.2167,-59.5167,28.34,61,40,7.2,BB,1675260290
264,sakakah,29.9697,40.2064,18.76,29,6,6.07,SA,1675260291
265,nguruka,-5.1092,31.0419,26.17,62,78,0.25,TZ,1675260292
266,kamenka,51.3223,42.7678,-1.6,97,100,3.95,RU,1675260293
267,opuwo,-18.0607,13.84,28.84,31,99,2.11,NA,1675260293
268,brodokalmak,55.5748,62.082,-6.5,95,18,2.32,RU,1675260294
269,matiri,-10.75,34.9,21.15,84,93,0.86,TZ,1675260294
270,benguela,-12.5763,13.4055,28.09,66,27,4.49,AO,1675260295
271,ancud,-41.8697,-73.8203,13.92,64,0,1.37,CL,1675259907
272,margate,51.3813,1.3862,10.5,67,100,3.58,GB,1675260296
273,anadyr,64.75,177.4833,-4.72,100,40,6.0,RU,1675260063
274,saravan,39.7196,45.6483,-2.85,93,100,0.26,AM,1675260297
275,doha,25.2867,51.5333,25.17,68,0,6.17,QA,1675260297
276,port hardy,50.6996,-127.4199,4.1,87,100,8.75,CA,1675260298
277,winnemucca,40.973,-117.7357,-5.76,68,28,1.9,US,1675260299
278,zhuanghe,39.7008,122.9911,-4.09,31,1,3.53,CN,1675260299
279,basco,20.4487,121.9702,24.37,73,62,5.63,PH,1675260300
280,bogdanovich,56.7803,62.0494,-9.5,92,41,2.65,RU,1675260300
281,codrington,-38.2667,141.9667,10.29,69,97,3.6,AU,1675259709
282,tall kayf,37.0833,41.0667,8.66,81,75,5.14,TR,1675260301
283,ceyhan,37.0247,35.8175,11.19,59,100,4.09,TR,1675260302
284,marsa matruh,31.3525,27.2453,14.04,53,100,9.4,EG,1675260305
285,pierre,44.3683,-100.351,-12.3,80,75,3.09,US,1675260310
286,leningradskiy,69.3833,178.4167,-16.47,96,100,4.51,RU,1675259971
287,yerbogachen,61.2767,108.0108,-20.07,98,100,1.91,RU,1675260317
288,voskresenskoye,56.8381,45.4317,-3.42,98,92,2.02,RU,1675260319
289,atambua,-9.1061,124.8925,24.44,86,100,0.81,ID,1675260320
290,eyl,7.9803,49.8164,25.69,60,0,8.33,SO,1675260326
291,oktyabrskiy,54.4815,53.471,-14.92,93,92,1.73,RU,1675260328
292,golden,39.7555,-105.2211,-5.68,62,6,1.34,US,1675260271
293,mangai,-4.05,19.5333,32.58,37,98,2.02,CD,1675260330
294,jizan,17.3333,42.6667,28.52,59,11,5.59,SA,1675260331
295,acarau,-2.8856,-40.12,27.21,78,100,5.63,BR,1675260333
296,hambantota,6.1241,81.1185,26.19,100,40,1.54,LK,1675259935
297,voh,-20.9667,164.7,23.28,78,86,1.02,NC,1675260340
298,sibolga,1.7427,98.7792,26.03,84,100,1.1,ID,1675260341
299,vestmanna,62.1564,-7.1664,1.51,87,75,3.6,FO,1675260343
300,rapar,23.5667,70.6333,20.59,28,0,3.82,IN,1675260343
