end_station_name,zipcode
Flatbush Ave & Ocean Ave,11225
28 Ave & 44 St,11103
Concourse Village East & E 158 St,10451
FDR Drive & E 35 St,10174
Jay St & York St,11251
Clinton St & Tillary St,11201
Bushwick Ave & Powers St,11211
E 81 St & 2 Ave,10028
Jefferson Ave & Evergreen Ave,11237
34 Ave & 45 St,11101
Devoe St & Lorimer St,11211
Wyckoff Av & Jefferson St,11385
7 St & 5 Ave,11215
E 149 St & Park Ave,10455
Warren St & W Broadway,10007
Coffey St & Ferris St,11231
Franklin St & W Broadway,10005
River Ave & E 153 St,10451
E 123 St & Lexington Ave,10035
E 9 St & 5 Ave,10003
Irving Ave & Harman St,11237
E 72 St & Park Ave,10021
62 St & Northern Blvd,11377
E 10 St & 2 Ave,10003
Eastern Pkwy & Franklin Ave,11225
Huron St & Franklin St,11222
W 148 St & Amsterdam Ave,10031
Lafayette St & Jersey St,10012
Richards St & Delavan St,11231
S 4 St & Rodney St,11211
Henry St & Bay St,11231
Davidson Ave & W Burnside Ave,10453
Halsey St & Broadway,11233
Wilson Ave & Moffat St,11207
W 54 St & 9 Ave,10019
E 48 St & 5 Ave,10017
E Houston St & Columbia St,10009
Old Slip & South St,10005
West End Ave & W 60 St,10069
Astoria Park S & Shore Blvd,11105
LaGuardia Pl & W 3 St,10012
34 St & 35 Ave,11106
Courtlandt Ave & E 149 St,10451
E 31 St & 3 Ave,10016
28 Ave & 35 St,11101
St James Pl & Oliver St,10278
8 Ave & W 31 St,10119
Orchard St & Grand St,10002
58 St & 2 Ave,11220
1 Ave & E 44 St,10158
Broadway & 49 St,11373
Madison St & Clinton St,10002
12 Ave & W 125 St,10115
W 47 St & 10 Ave,10036
Clinton St & Union St,11231
Lenox Ave & W 126 St,10037
W 218 St & Indian Rd,10034
W 12 St & Hudson St,10014
Harman St & Seneca Ave,11385
St Johns Pl & Washington Ave,11233
E 13 St & Avenue A,10009
Roosevelt Island Tramway,10044
52 St & 1 Ave,11220
Wyckoff St & Nevins St,11217
Riverside Blvd & W 67 St,10069
Adelphi St & Myrtle Ave,11238
Stuyvesant Ave & Gates Ave,11221
3 Ave & 17 St,11215
6 Ave & Canal St,10005
Brevoort Pl & Bedford Ave,11216
W Mosholu Pkwy S & Sedgwick Ave,10463
Plaza St West & Flatbush Ave,11238
Menahan St & Wyckoff Ave,11237
